nohup: ignoring input
[2025-12-01 13:14:35] [WARNING] exchange_api: 🚀 [REAL]
[2025-12-01 13:14:35] [INFO] main: 🤖 Bybit Wave Bot v8.1 Starting...
[2025-12-01 13:23:44] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:47] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:50] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:52] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:55] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:23:58] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:01] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:03] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:06] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:09] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:11] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:14] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:17] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:20] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:22] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:25] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:28] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:31] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:33] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:36] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:39] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:41] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:44] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:47] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:50] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:52] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:55] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:24:58] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
[2025-12-01 13:25:01] [INFO] main: [Status] Mode=STARTUP, Price=0.0, Line=0
